Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
11	M5891	HALLMARK_HYPOXIA	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_HYPOXIA.html	Genes up-regulated in response to low oxygen levels (hypoxia).		99/200	Arthur Liberzon	5.251282199449e-06	2.386946454295e-05	25	17.75	19.5	1.31282313511686e-06	6	1.16084212802034	-1.18409493633996	-1	25.2980331881352	25	6	14	26
12	M5907	HALLMARK_ESTROGEN_RESPONSE_LATE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_LATE.html	Genes defining late response to estrogen.		72/200	Arthur Liberzon	7.13025119681967e-06	2.97093799867486e-05	50	30	31.5	1.78256756551994e-06	7	1.18626123306945	-1.23638928236236	-1	25.3203923680641	50	7	44	19
13	M5897	HALLMARK_IL6_JAK_STAT3_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_IL6_JAK_STAT3_SIGNALING.html	Genes up-regulated by IL6 [GeneID=3569] via STAT3 [GeneID=6774], e.g., during acute phase response.		24/87	Arthur Liberzon	2.89364956281581e-05	0.000111294213954454	15	15.75	16	7.23420240718763e-06	4	0.989766353352089	-0.921621782465003	-1	18.4403365390545	15	27	4	17
14	M5906	HALLMARK_ESTROGEN_RESPONSE_EARLY	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ESTROGEN_RESPONSE_EARLY.html	Genes defining early response to estrogen.		63/200	Arthur Liberzon	5.0153629687189e-05	0.000167178765623963	10	20.25	19	1.25386432461876e-05	8	1.36035469553445	-1.38964968939267	-1	24.2226260684144	35	8	28	10
15	M5913	HALLMARK_INTERFERON_GAMMA_RESPONSE	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE.html	Genes up-regulated in response to IFNG [GeneID=3458].		87/200	Arthur Liberzon	4.92145881987428e-05	0.000167178765623963	10	7.5	8.5	1.23038741258008e-05	3	1.14293514909345	-1.16668503488522	-1	20.3457765806553	7	10	10	3
16	M5950	HALLMARK_ALLOGRAFT_REJECTION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_ALLOGRAFT_REJECTION.html	Genes up-regulated during transplant rejection.		67/200	Arthur Liberzon	8.84844661012781e-05	0.000276513956566494	10	10	7.5	2.21218505789032e-05	4	1.32007334004391	-1.33893415080784	-1	22.1423677183303	9	21	6	4
17	M5915	HALLMARK_APICAL_JUNCTION	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_APICAL_JUNCTION.html	Genes encoding components of apical junction complex.		107/200	Arthur Liberzon	0.000131172569368944	0.000385801674614541	10	9	9	3.27947555509532e-05	5	1.19043578894981	-1.24868450949987	-1	19.151569023337	13	9	9	5
18	M5898	HALLMARK_DNA_REPAIR	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_DNA_REPAIR.html	Genes involved in DNA repair.		99/150	Arthur Liberzon	0.000296357288431002	0.000823214690086117	10	29.75	33.5	7.40975573729422e-05	10	0.833857994286274	0.795079464082563	1	12.1089716961837	10	42	31	36
19	M5934	HALLMARK_XENOBIOTIC_METABOLISM	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_XENOBIOTIC_METABOLISM.html	Genes encoding proteins involved in processing of drugs and other xenobiotics.		104/200	Arthur Liberzon	0.000421767087272686	0.0011099133875597	15	12.25	13.5	0.000105458452873271	5	1.13297689063147	-1.08872745791864	-1	15.7707265789149	12	17	5	15
20	M5923	HALLMARK_PI3K_AKT_MTOR_SIGNALING	http://www.broadinstitute.org/gsea/msigdb/cards/HALLMARK_PI3K_AKT_MTOR_SIGNALING.html	Genes up-regulated by activation of the PI3K/AKT/mTOR pathway.		66/105	Arthur Liberzon	0.00051078848081547	0.00127697120203867	45	26	26	0.00012772158732624	7	0.799725685155297	-0.806775779084731	-1	10.8920171629882	11	41	7	45
