Rank	ID	GeneSet	BroadUrl	Description	PubMedID	NumGenes	Contributor	p.value	p.adj	vote.rank	avg.rank	med.rank	min.pvalue	min.rank	avg.logfc	avg.logfc.dir	direction	significance	camera	gage	zscore	ora
11	M12225	PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP	http://www.broadinstitute.org/gsea/msigdb/cards/PICCALUGA_ANGIOIMMUNOBLASTIC_LYMPHOMA_UP.html	Up-regulated genes in angioimmunoblastic lymphoma (AILT) compared to normal T lymphocytes.	18006812	120/205	Arthur Liberzon	1.94730482618496e-19	6.43849786621337e-17	185	149	103	4.86826206546241e-20	7	1.28978339374068	-1.29941165736681	-1	61.9640038075951	185	7	383	21
12	M17471	SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_UP.html	Genes up-regulated in invasive ductal carcinoma (IDC) relative to ductal carcinoma in situ (DCIS, non-invasive).	16707453	164/351	Arthur Liberzon	5.20903062583481e-19	1.57877036551343e-16	120	176.25	75.5	1.30225765645871e-19	8	1.27119699486414	-1.29825465531104	-1	59.6017975156922	116	8	546	35
13	M2129	CHICAS_RB1_TARGETS_CONFLUENT	http://www.broadinstitute.org/gsea/msigdb/cards/CHICAS_RB1_TARGETS_CONFLUENT.html	Genes up-regulated in confluent IMR90 cells (fibroblast) after knockdown of RB1 [GeneID=5925] by RNAi.	20385362	271/567	Arthur Liberzon	3.27506156155977e-18	9.16261453799452e-16	415	215.5	221	8.18765390389945e-19	9	1.23203717857728	-1.26018229962642	-1	54.9738908361357	411	9	355	87
14	M13273	DELYS_THYROID_CANCER_DN	http://www.broadinstitute.org/gsea/msigdb/cards/DELYS_THYROID_CANCER_DN.html	Genes down-regulated in papillary thyroid carcinoma (PTC) compared to normal tissue.	17621275	86/232	Aravind Subramanian	3.71649540941968e-18	9.65492414575671e-16	2990	1421.5	1344	9.29123852354923e-19	10	1.55272014915761	-1.7101626446217	-1	69.1781761383518	2988	10	2492	196
15	M8513	SMID_BREAST_CANCER_NORMAL_LIKE_UP	http://www.broadinstitute.org/gsea/msigdb/cards/SMID_BREAST_CANCER_NORMAL_LIKE_UP.html	Genes up-regulated in the normal-like subtype of breast cancer.	18451135	143/476	Jessica Robertson	7.49719177142879e-18	1.8178190981791e-15	15	56.75	33	1.87429794285721e-18	11	1.32704265014548	-1.3374170328414	-1	58.0415218722596	51	11	150	15
16	M5884	NABA_CORE_MATRISOME	http://www.broadinstitute.org/gsea/msigdb/cards/NABA_CORE_MATRISOME.html	Ensemble of genes encoding core extracellular matrix including ECM glycoproteins, collagens and proteoglycans	22159717	107/275	Alexandra Naba	6.85733088143117e-17	1.55875702598532e-14	1755	1475.5	1819.5	1.7143327203578e-17	12	1.38067433334998	-1.49210711217884	-1	56.5640779904712	1754	12	2251	1885
17	M734	REACTOME_RNA_POL_II_TRANSCRIPTION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_RNA_POL_II_TRANSCRIPTION.html	Genes involved in RNA Polymerase II Transcription		67/105	Reactome	1.11233781419265e-16	2.37974860601099e-14	5	1250.5	1290.5	2.78084453548165e-17	5	0.764850641352043	0.764850641352043	1	30.917674085711	5	2382	199	2416
18	M2001	WU_CELL_MIGRATION	http://www.broadinstitute.org/gsea/msigdb/cards/WU_CELL_MIGRATION.html	Genes associated with migration rate of 40 human bladder cancer cells.	18724390	76/184	Jessica Robertson	2.03089249821823e-16	4.10353112001094e-14	500	215.25	174.5	5.07723124554557e-17	13	1.59061531867432	-1.59479337963611	-1	63.1810095360642	499	13	329	20
19	M5547	LU_AGING_BRAIN_UP	http://www.broadinstitute.org/gsea/msigdb/cards/LU_AGING_BRAIN_UP.html	Age up-regulated genes in the human frontal cortex.	15190254	150/262	John Newman	4.0092325449528e-16	7.67451513999649e-14	370	216	191	1.0023081362382e-16	9	1.31044710234002	-1.37244533265465	-1	50.9951857635691	368	14	473	9
20	M14025	REACTOME_TRANSCRIPTION	http://www.broadinstitute.org/gsea/msigdb/cards/REACTOME_TRANSCRIPTION.html	Genes involved in Transcription		89/210	Reactome	1.0756543400366e-15	1.95607741735655e-13	10	1160.5	1119	2.68913585009149e-16	6	0.803508516341917	0.775420268604804	1	30.2991967375265	6	2398	342	1896
